Breed,Life Expectancy (years),Height,Weight,Group,Energy Level,Barking Tendencies,Training Needs,Good for Small Homes
Affenpinscher,9.3,9-11.5,7-10,Toy,3,2,4,5
Afghan Hound,11.1,25-27,50-60,Hound,,,,
Airedale Terrier,12,23,50-70,Terrier,4,3,4,2
Akita,11.4,24-28,70-130,Working,3,2,4,3
Alaskan Malamute,11.3,23-25,75-85,Working,4,4,4,1
American Cocker Spaniel,13.3,13.5-15.5,20-30,Sporting,3,4,3,5
American Eskimo Dog,11.3,9-19,6-35,Non-Sporting,4,5,4,3
American Staffordshire Terrier,12.5,17-19,40-70,Terrier,4,3,4,2
Anatolian Shepherd,10.1,27-29,80-150,Working,3,3,5,1
Australian Cattle Dog,14,17-20,35-50,Herding,5,4,4,1
Australian Shepherd,13.7,18-23,40-65,Herding,5,5,5,3
Basenji,12.1,16-17,22-24,Hound,5,1,4,3
Basset Hound*,12.5,15,40-65,Hound,2,5,3,3
Beagle*,12.5,13-15,20-30,Hound,4,5,3,3
Bearded Collie,13.9,20-22,45-55,Herding,4,3,4,3
Bedlington Terrier,13.7,15-17.5,17-23,Terrier,3,4,3,4
Belgian Malinois,12,22-26,40-80,Herding,5,3,5,1
Belgian Tervuren,13.8,22-26,45-75,Herding,,,,
Bernese Mountain Dog,10.1,23-27.5,70-115,Working,3,3,4,2
Bichon Frise,12.5,9.5-11.5,12-18,Non-Sporting,3,3,3,5
Black Russian Terrier,10.9,26-30,80-130,Working,,,,
Bloodhound,9.3,23-27,80-110,Hound,4,5,3,1
Bolognese,14.9,10-12,6-10,FSS,2,3,3,5
Border Collie,13.1,18-22,30-55,Herding,5,3,5,2
Border Terrier,14.2,12-15,11.5-15.5,Terrier,3,3,3,5
Borzoi*,12,26-28,60-105,Hound,4,2,3,2
Boston Terrier,11.8,10-12,12-25,Non-Sporting,3,4,3,5
Bouvier des Flandres,11.3,23.5-27.5,70-110,Herding,3,4,4,1
Boxer*,11.3,21.5-25,65-80,Working,4,3,4,2
Bracco Italiano,13.8,21-27,55-90,Sporting,,,,
Briard,12.6,22-27,55-100,Herding,5,3,4,3
Brittany,11.1,17.5-20.5,30-40,Sporting,5,3,3,2
Brussels Griffon,13.3,7-10,8-10,Toy,3,3,3,5
Bull Terrier,12,21-22,50-70,Terrier,4,3,4,3
Bulldog,9.8,14-15,40-50,Non-Sporting,2,2,3,5
Bullmastiff,10.2,24-27,100-130,Working,3,3,4,2
Cairn Terrier,14,9.5-10,13-14,Terrier,4,5,4,4
Canaan Dog,12,19-24,35-55,Herding,,,,
